Business Name,Industry,Age,Company Type,Annual Revenue (USD),Number of Employees,Credit Score,Collateral Value (USD),Debt-to-Equity Ratio,Profit Margin,Cash Flow (USD),Outstanding Debt (USD),Market Competition,Business Plan Quality,Ownership Structure,Location,Regulatory Environment,Business Assets (USD),Growth Potential,Industry Trends,Customer Base,Supplier Relationships,Management Experience,Tax Compliance,Technological Infrastructure,Loan Approved
Flutterwave,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",1.2,10%,"500,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Safaricom,Telecommunications,7,Limited,"2,500,000,000","15,000",705,"150,000,000",1.1,18%,"1,200,000","300,000,000",High,Good,Public,Kenya,Moderate,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000",500,742,"150,000,000",0.8,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Advanced,No
Shoprite Holdings Ltd,Media,19,Public,"25,000,000,000","147,000",800,"20,000,000,000",0.9,12%,"1,000,000","500,000,000",High,Good,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Banking,7,Private,"100,000,000","9,000",800,"150,000,000",0.5,15%,"1,200,000","30,000,000",High,Good,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Zenith Bank,E-commerce,59,Public,"25,000,000,000","30,000",714,"35,000,000,000",0.4,8%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Financial Technology,21,Public,"5,000,000,000","29,000",749,"15,000,000,000",0.5,10%,"1,500,000","30,000,000",High,Excellent,Public,Nigeria,Strict,"15,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Manufacturing,29,Public,"25,000,000,000","30,000",732,"15,000,000,000",0.4,20%,"100,000","500,000,000",High,Excellent,Public,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,51,Public,"2,500,000,000","30,000",774,"15,000,000,000",0.4,15%,"500,000","250,000,000",High,Good,Public,Nigeria,Moderate,"15,000,000,000",High,Positive,Medium,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,7,Limited,"2,500,000,000","15,000",736,"9,000,000,000",1.1,8%,"500,000","300,000,000",High,Good,Public,Nigeria,Moderate,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Adequate,Yes
Sasol Ltd,Telecommunications,41,Public,"2,500,000,000","19,000",705,"9,000,000,000",0.7,15%,"200,000","500,000,000",High,Good,Public,South Africa,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Telecommunications,38,Public,"12,000,000,000","15,000",716,"15,000,000,000",0.6,16%,"1,000,000","300,000,000",High,Good,Public,Nigeria,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Sasol Ltd,Media,7,Public,"12,000,000,000","19,000",663,"9,000,000,000",0.6,18%,"100,000","500,000,000",High,Good,Public,Nigeria,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Adequate,Yes
Naspers,Telecommunications,7,Private,"10,000,000,000","30,000",713,"20,000,000,000",0.4,16%,"1,000,000","500,000,000",High,Good,Public,Nigeria,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Telecommunications,48,Limited,"2,500,000,000","9,000",796,"4,000,000,000",1.1,12%,"1,000,000","250,000,000",High,Good,Public,Nigeria,Moderate,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,E-commerce,16,Public,"20,000,000,000","13,000",760,"1,200,000,000",1,15%,"50,000","500,000,000",High,Good,Public,Nigeria,Moderate,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Adequate,Yes
Sasol Ltd,Telecommunications,7,Limited,"1,200,000,000","15,000",733,"4,000,000,000",1,18%,"1,200,000","300,000,000",High,Good,Public,Nigeria,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Manufacturing,105,Public,"25,000,000,000","15,000",734,"20,000,000,000",0.4,8%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Corporation,"25,000,000,000","15,000",692,"40,000,000,000",0.4,10%,"800,000","500,000,000",High,Average,Private,Nigeria,Moderate,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",1.2,18%,"50,000","30,000,000",Medium,Good,Private,South Africa,Moderate,"7,000,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Zenith Bank,Telecommunications,63,Public,"5,000,000,000","15,000",702,"4,000,000,000",0.9,12%,"1,500,000","300,000,000",High,Good,Public,South Africa,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
MTN Group,Telecommunications,7,Public,"2,500,000,000","19,000",715,"9,000,000,000",1,16%,"1,000,000","300,000,000",High,Good,Public,Kenya,Strict,"40,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",1.2,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"7,000,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,Yes
Dangote Group,Media,98,Public,"12,000,000,000","15,000",707,"20,000,000,000",0.4,8%,"1,000,000","1,000,000,000",High,Good,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Sasol Ltd,Telecommunications,7,Public,"1,200,000,000","9,000",678,"2,500,000,000",0.5,12%,"800,000","500,000,000",High,Good,Public,Nigeria,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Telecommunications,64,Public,"1,200,000,000","147,000",797,"4,000,000,000",1,18%,"1,000,000","300,000,000",High,Good,Public,Kenya,Strict,"15,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Manufacturing,7,Limited,"100,000,000","147,000",714,"9,000,000,000",1,10%,"100,000","300,000,000",Medium,Good,Public,Kenya,Strict,"40,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Banking,68,Public,"700,000,000",500,800,"15,000,000,000",0.7,18%,"1,000,000","100,000,000",High,Excellent,Public,South Africa,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Media,56,Public,"20,000,000,000","15,000",797,"15,000,000,000",0.7,16%,"1,000,000","500,000,000",High,Good,Public,South Africa,Strict,"40,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Retail,64,Corporation,"2,500,000,000","19,000",767,"40,000,000,000",0.8,16%,"1,000,000","500,000,000",High,Good,Public,Kenya,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,8,Public,"2,500,000,000","9,000",728,"4,000,000,000",1.1,18%,"500,000","300,000,000",High,Good,Private,Kenya,Moderate,"7,000,000,000",High,Positive,Medium,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,7,Limited,"700,000,000","9,000",730,"4,000,000,000",1,18%,"500,000","30,000,000",High,Good,Public,Kenya,Moderate,"50,000,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Advanced,Yes
Jumia,Financial Technology,7,Public,"20,000,000,000","30,000",710,"150,000,000",0.9,10%,"200,000","30,000,000",High,Good,Public,Nigeria,Moderate,"500,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,E-commerce,7,Private,"10,000,000,000",500,795,"2,500,000,000",0.4,16%,"1,200,000","1,000,000,000",High,Good,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",0.4,12%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Advanced,No
Zenith Bank,Media,7,Public,"12,000,000,000","147,000",711,"35,000,000,000",0.5,8%,"100,000","500,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Banking,7,Limited,"2,500,000,000","29,000",668,"20,000,000,000",0.7,18%,"100,000","300,000,000",High,Good,Public,Kenya,Strict,"7,000,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Advanced,Yes
Jumia,E-commerce,37,Public,"10,000,000,000",500,700,"9,000,000,000",0.9,16%,"1,000,000","300,000,000",High,Good,Public,South Africa,Strict,"40,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Telecommunications,79,Public,"10,000,000,000","29,000",800,"20,000,000,000",0.4,20%,"1,200,000","250,000,000",High,Excellent,Public,Nigeria,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,31,Limited,"2,500,000,000","9,000",727,"1,200,000,000",1,18%,"500,000","300,000,000",High,Good,Public,South Africa,Moderate,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Telecommunications,38,Limited,"2,500,000,000","30,000",718,"15,000,000,000",1.1,15%,"500,000","300,000,000",High,Good,Public,South Africa,Moderate,"15,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",1.1,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Zenith Bank,Media,105,Public,"25,000,000,000","30,000",718,"35,000,000,000",0.5,18%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Manufacturing,60,Public,"5,000,000,000","147,000",689,"35,000,000,000",0.7,8%,"1,500,000","250,000,000",High,Good,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Telecommunications,38,Public,"12,000,000,000","30,000",707,"20,000,000,000",0.5,12%,"1,000,000","100,000,000",High,Good,Public,South Africa,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,105,Public,"20,000,000,000","30,000",719,"4,000,000,000",0.8,8%,"100,000","200,000,000",High,Excellent,Public,Nigeria,Strict,"40,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000","9,000",600,"150,000,000",1,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Zenith Bank,Telecommunications,7,Limited,"20,000,000,000","9,000",741,"25,000,000,000",0.5,18%,"500,000","300,000,000",High,Good,Public,South Africa,Strict,"1,800,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Financial Technology,7,Corporation,"2,500,000,000","30,000",683,"4,000,000,000",1,12%,"500,000","300,000,000",Medium,Good,Private,Kenya,Moderate,"500,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Retail,60,Public,"10,000,000,000","29,000",673,"4,000,000,000",0.6,12%,"800,000","300,000,000",High,Excellent,Public,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Telecommunications,48,Public,"2,500,000,000","9,000",785,"4,000,000,000",1.1,18%,"500,000","300,000,000",High,Good,Public,South Africa,Moderate,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Telecommunications,26,Corporation,"12,000,000,000","9,000",733,"2,500,000,000",0.6,18%,"200,000","500,000,000",High,Good,Private,South Africa,Moderate,"500,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Adequate,Yes
Naspers,Financial Technology,7,Public,"1,200,000,000","30,000",729,"40,000,000,000",0.4,10%,"1,200,000","500,000,000",High,Excellent,Public,Nigeria,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Telecommunications,7,Private,"100,000,000","9,000",724,"150,000,000",1.2,10%,"50,000","30,000,000",High,Good,Private,Nigeria,Moderate,"30,000,000,000",High,Positive,Medium,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Manufacturing,7,Limited,"1,200,000,000","15,000",729,"4,000,000,000",1,18%,"100,000","300,000,000",High,Good,Public,Nigeria,Strict,"1,800,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Media,105,Public,"25,000,000,000","29,000",721,"15,000,000,000",0.4,15%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
MTN Group,Banking,14,Public,"12,000,000,000","9,000",695,"15,000,000,000",0.5,10%,"50,000","200,000,000",High,Good,Private,Kenya,Moderate,"30,000,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,7,Limited,"2,500,000,000","9,000",765,"4,000,000,000",1.1,18%,"1,000,000","300,000,000",High,Good,Public,Nigeria,Moderate,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
MTN Group,Manufacturing,7,Corporation,"2,500,000,000","15,000",728,"15,000,000,000",0.4,8%,"1,000,000","250,000,000",High,Good,Public,Nigeria,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Telecommunications,42,Public,"2,500,000,000","13,000",701,"40,000,000,000",0.5,12%,"1,200,000","500,000,000",High,Excellent,Public,South Africa,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Retail,53,Public,"10,000,000,000","13,000",686,"1,200,000,000",0.9,16%,"500,000","100,000,000",High,Excellent,Public,Nigeria,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Chemicals,94,Public,"25,000,000,000","29,000",800,"20,000,000,000",0.4,8%,"1,200,000","500,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Chemicals,52,Public,"700,000,000","19,000",679,"4,000,000,000",0.4,18%,"1,500,000","250,000,000",High,Good,Public,South Africa,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Telecommunications,105,Public,"10,000,000,000","19,000",722,"15,000,000,000",0.4,18%,"800,000","500,000,000",High,Excellent,Public,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Manufacturing,7,Private,"100,000,000","19,000",678,"2,500,000,000",0.5,20%,"50,000","100,000,000",High,Excellent,Public,South Africa,Strict,"1,800,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
MTN Group,Telecommunications,7,Limited,"2,500,000,000","9,000",744,"9,000,000,000",0.7,10%,"500,000","30,000,000",Medium,Good,Private,Kenya,Moderate,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Adequate,Yes
Vodacom Group,Telecommunications,7,Private,"1,200,000,000","9,000",748,"4,000,000,000",1.1,10%,"500,000","30,000,000",High,Good,Private,Kenya,Moderate,"7,000,000,000",High,Positive,Medium,Strong,Experienced,Compliant,Adequate,Yes
Zenith Bank,Media,104,Public,"25,000,000,000","15,000",704,"1,200,000,000",0.4,8%,"1,500,000","500,000,000",High,Excellent,Public,Nigeria,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Chemicals,105,Public,"1,200,000,000","30,000",719,"15,000,000,000",0.4,16%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Banking,7,Limited,"10,000,000,000","30,000",714,"4,000,000,000",0.4,15%,"500,000","500,000,000",High,Good,Public,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Jumia,Media,7,Public,"10,000,000,000","15,000",720,"9,000,000,000",0.4,10%,"1,500,000","100,000,000",High,Good,Public,South Africa,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Retail,88,Public,"10,000,000,000","147,000",671,"40,000,000,000",0.4,15%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Adequate,Yes
Zenith Bank,Chemicals,7,Public,"1,200,000,000","9,000",721,"40,000,000,000",0.5,10%,"50,000","30,000,000",High,Good,Private,Nigeria,Strict,"500,000,000",High,Positive,Medium,Strong,Experienced,Compliant,Advanced,No
Dangote Group,Financial Technology,27,Limited,"10,000,000,000","30,000",800,"20,000,000,000",0.5,18%,"1,500,000","300,000,000",High,Good,Public,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Manufacturing,105,Public,"10,000,000,000","29,000",729,"15,000,000,000",0.4,15%,"1,200,000","500,000,000",High,Good,Public,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Telecommunications,7,Private,"700,000,000","15,000",752,"2,500,000,000",0.7,15%,"200,000","250,000,000",High,Good,Public,South Africa,Moderate,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Chemicals,22,Limited,"10,000,000,000","13,000",600,"150,000,000",1,10%,"500,000","250,000,000",High,Good,Public,Kenya,Moderate,"7,000,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Advanced,Yes
Flutterwave,Telecommunications,7,Private,"100,000,000",500,600,"150,000,000",1.2,10%,"500,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,Yes
Dangote Group,Manufacturing,57,Public,"100,000,000","9,000",767,"40,000,000,000",0.4,20%,"1,000,000","250,000,000",High,Good,Public,Nigeria,Moderate,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Banking,7,Public,"700,000,000","13,000",722,"15,000,000,000",0.4,12%,"1,000,000","500,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Sasol Ltd,Telecommunications,34,Public,"10,000,000,000","15,000",712,"20,000,000,000",0.5,18%,"800,000","300,000,000",High,Good,Public,Kenya,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Media,105,Public,"10,000,000,000","147,000",694,"4,000,000,000",0.9,16%,"100,000","1,000,000,000",High,Excellent,Public,South Africa,Strict,"1,800,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Manufacturing,46,Public,"10,000,000,000","29,000",796,"9,000,000,000",0.4,15%,"1,000,000","100,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Retail,41,Public,"20,000,000,000","15,000",723,"25,000,000,000",0.4,8%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
MTN Group,Telecommunications,51,Public,"10,000,000,000","147,000",672,"20,000,000,000",0.5,16%,"500,000","300,000,000",High,Good,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,28,Limited,"2,500,000,000","9,000",714,"4,000,000,000",0.4,10%,"500,000","300,000,000",High,Good,Public,Kenya,Moderate,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Adequate,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",0.6,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Naspers,Telecommunications,37,Public,"100,000,000","19,000",723,"1,200,000,000",0.4,16%,"800,000","250,000,000",High,Good,Private,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"700,000,000",500,667,"150,000,000",1.2,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Dangote Group,Media,50,Public,"5,000,000,000","29,000",729,"20,000,000,000",0.4,8%,"1,000,000","500,000,000",High,Excellent,Public,Nigeria,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,E-commerce,7,Private,"1,200,000,000","19,000",600,"15,000,000,000",0.4,20%,"1,500,000","30,000,000",Medium,Good,Public,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Retail,105,Public,"10,000,000,000","147,000",726,"40,000,000,000",0.4,8%,"1,000,000","500,000,000",High,Excellent,Public,South Africa,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,45,Public,"12,000,000,000","30,000",796,"25,000,000,000",0.5,18%,"500,000","250,000,000",High,Good,Public,Nigeria,Moderate,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Adequate,Yes
